City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind speed,Temp (F)
rocha,uy,-34.48,-54.34,1551644319,0,41,3.32,77.62460000000007
hermanus,za,-34.42,19.24,1551644255,0,92,0.45,64.23800000000004
fortuna,us,40.6,-124.16,1551644170,90,100,2.6,55.22000000000006
busselton,au,-33.64,115.35,1551643995,0,43,8.92,62.492
killybegs,ie,54.63,-8.45,1551644224,20,61,7.2,41.88200000000002
bluff,nz,-46.6,168.33,1551643807,0,94,5.17,53.99600000000005
punta arenas,cl,-53.16,-70.91,1551643990,20,80,10.3,55.22000000000006
beloha,mg,-25.17,45.06,1551644401,0,85,4.37,73.48460000000004
bambous virieux,mu,-20.34,57.76,1551644047,40,83,3.1,80.83399999999999
east london,za,-33.02,27.91,1551644038,8,100,9.07,74.92460000000007
vao,nc,-22.67,167.48,1551644409,92,97,7.47,78.61460000000008
esperance,au,-33.86,121.89,1551639600,0,87,5.1,59.0
zaysan,kz,47.47,84.87,1551644411,76,85,0.52,23.984600000000047
ushuaia,ar,-54.81,-68.31,1551639600,75,47,3.6,55.4
quepos,cr,9.43,-84.16,1551639600,75,50,4.6,81.55400000000006
saskylakh,ru,71.97,114.09,1551644419,36,38,1.57,-25.56039999999996
kosh-agach,ru,49.99,88.66,1551644421,20,51,1.27,-0.8553999999999746
veraval,in,20.9,70.37,1551644376,12,93,4.12,70.6046
aklavik,ca,68.22,-135.01,1551639600,40,64,1.5,3.3440000000000722
sao filipe,cv,14.9,-24.5,1551644048,0,88,7.62,72.53960000000009
imbituba,br,-28.24,-48.67,1551639600,40,74,7.2,82.4
khatanga,ru,71.98,102.47,1551644428,44,75,8.22,-0.09039999999995274
bruiu,ro,45.87,24.7,1551641400,0,69,1.0,35.87000000000006
naze,jp,28.37,129.48,1551644431,20,100,10.32,65.92460000000007
rikitea,pf,-23.12,-134.97,1551644432,56,100,5.62,79.42460000000007
new norfolk,au,-42.78,147.06,1551644240,40,76,2.6,52.141999999999996
upington,za,-28.46,21.24,1551643200,0,21,5.1,84.2
albany,au,-35.02,117.88,1551641400,75,100,2.6,59.0
puerto ayora,ec,-0.74,-90.35,1551639600,20,62,5.1,87.8
hilo,us,19.71,-155.08,1551644421,90,73,4.6,66.90200000000007
alofi,nu,-19.06,-169.92,1551639600,76,83,2.6,80.6
norman wells,ca,65.28,-126.83,1551643200,5,64,0.52,-2.199999999999946
kirakira,sb,-10.46,161.92,1551644442,68,100,3.22,82.03460000000004
bredasdorp,za,-34.53,20.04,1551644255,0,82,1.5,61.538000000000046
severo-kurilsk,ru,50.68,156.12,1551644444,56,100,10.07,24.704600000000006
alirajpur,in,22.3,74.35,1551644445,36,89,2.77,69.0296
huarmey,pe,-10.07,-78.15,1551644292,36,56,2.12,78.7046
usinsk,ru,66.0,57.56,1551644448,8,59,4.07,-7.245399999999947
jamestown,sh,-15.94,-5.72,1551644029,80,99,7.62,77.17460000000007
saint-philippe,re,-21.36,55.77,1551644189,0,74,2.1,76.60400000000006
